Date,Fear_Greed_Value,Classification
2026-04-14,21,Extreme Fear
2026-04-15,23,Extreme Fear
2026-04-16,23,Extreme Fear
2026-04-17,21,Extreme Fear
2026-04-18,26,Fear
2026-04-19,27,Fear
2026-04-20,29,Fear
2026-04-21,33,Fear
2026-04-22,32,Fear
2026-04-23,46,Fear
2026-04-24,39,Fear
2026-04-25,31,Fear
2026-04-26,33,Fear
2026-04-27,47,Neutral
2026-04-28,33,Fear
2026-04-29,26,Fear
2026-04-30,29,Fear
2026-05-01,26,Fear
2026-05-02,39,Fear
2026-05-03,47,Neutral
2026-05-04,40,Fear
2026-05-05,50,Neutral
2026-05-06,46,Fear
2026-05-07,47,Neutral
2026-05-08,38,Fear
2026-05-09,38,Fear
2026-05-10,47,Neutral
2026-05-11,48,Neutral
2026-05-12,49,Neutral
2026-05-13,42,Fear
